time,amplitude
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,1.256603988335260741e-02
2.000000000000000042e-03,2.513009544333747944e-02
3.000000000000000062e-03,3.769018266993454103e-02
4.000000000000000083e-03,5.024431817976955650e-02
5.000000000000000104e-03,6.279051952931337388e-02
6.000000000000000125e-03,7.532680552793272200e-02
7.000000000000000146e-03,8.785119655074316580e-02
8.000000000000000167e-03,1.003617148512148949e-01
9.000000000000001055e-03,1.128563848734816938e-01
1.000000000000000021e-02,1.253332335643042583e-01
1.099999999999999936e-02,1.377902906846380504e-01
1.200000000000000025e-02,1.502255891207570637e-01
1.300000000000000114e-02,1.626371651948836095e-01
1.400000000000000029e-02,1.750230589752760357e-01
1.499999999999999944e-02,1.873813145857246010e-01
1.600000000000000033e-02,1.997099805144070261e-01
1.700000000000000122e-02,2.120071099220546262e-01
1.800000000000000211e-02,2.242707609493811982e-01
1.899999999999999953e-02,2.364989970237246775e-01
2.000000000000000042e-02,2.486898871648547948e-01
2.100000000000000130e-02,2.608415062898969405e-01
2.199999999999999872e-02,2.729519355173251616e-01
2.299999999999999961e-02,2.850192624699761090e-01
2.400000000000000050e-02,2.970415815770349188e-01
2.500000000000000139e-02,3.090169943749473958e-01
2.600000000000000228e-02,3.209436098072095400e-01
2.699999999999999969e-02,3.328195445229866212e-01
2.800000000000000058e-02,3.446429231745170574e-01
2.900000000000000147e-02,3.564118787132507515e-01
2.999999999999999889e-02,3.681245526846779192e-01
3.099999999999999978e-02,3.797790955218010578e-01
3.200000000000000067e-02,3.913736668372024274e-01
3.300000000000000155e-02,4.029064357136626362e-01
3.400000000000000244e-02,4.143755809932841427e-01
3.500000000000000333e-02,4.257792915650727150e-01
3.600000000000000422e-02,4.371157666509329354e-01
3.699999999999999817e-02,4.483832160900322328e-01
3.799999999999999906e-02,4.595798606214878124e-01
3.899999999999999994e-02,4.707039321653325170e-01
4.000000000000000083e-02,4.817536741017153235e-01
4.100000000000000172e-02,4.927273415482915642e-01
4.200000000000000261e-02,5.036232016357607977e-01
4.300000000000000350e-02,5.144395337815064195e-01
4.399999999999999745e-02,5.251746299612956026e-01
4.499999999999999833e-02,5.358267949789966567e-01
4.599999999999999922e-02,5.463943467342691207e-01
4.700000000000000011e-02,5.568756164881879522e-01
4.800000000000000100e-02,5.672689491267565165e-01
4.900000000000000189e-02,5.775727034222676304e-01
5.000000000000000278e-02,5.877852522924731371e-01
5.100000000000000366e-02,5.979049830575188240e-01
5.200000000000000455e-02,6.079302976946054926e-01
5.299999999999999850e-02,6.178596130903343253e-01
5.399999999999999939e-02,6.276913612907004669e-01
5.500000000000000028e-02,6.374239897486896345e-01
5.600000000000000117e-02,6.470559615694442268e-01
5.700000000000000205e-02,6.565857557529565236e-01
5.800000000000000294e-02,6.660118674342516698e-01
5.900000000000000383e-02,6.753328081210244749e-01
5.999999999999999778e-02,6.845471059286886151e-01
6.099999999999999867e-02,6.936533058128049323e-01
6.199999999999999956e-02,7.026499697988491944e-01
6.300000000000000044e-02,7.115356772092853443e-01
6.400000000000000133e-02,7.203090248879069346e-01
6.500000000000000222e-02,7.289686274214115524e-01
6.600000000000000311e-02,7.375131173581739308e-01
6.700000000000000400e-02,7.459411454241821060e-01
6.800000000000000488e-02,7.542513807361037603e-01
6.900000000000000577e-02,7.624425110114478876e-01
7.000000000000000666e-02,7.705132427757892533e-01
7.100000000000000755e-02,7.784623015670234514e-01
7.200000000000000844e-02,7.862884321366189200e-01
7.299999999999999545e-02,7.939903986478352715e-01
7.399999999999999634e-02,8.015669848708765199e-01
7.499999999999999722e-02,8.090169943749474513e-01
7.599999999999999811e-02,8.163392507171839396e-01
7.699999999999999900e-02,8.235325976284274541e-01
7.799999999999999989e-02,8.305958991958125592e-01
7.900000000000000078e-02,8.375280400421416527e-01
8.000000000000000167e-02,8.443279255020150753e-01
8.100000000000000255e-02,8.509944817946918372e-01
8.200000000000000344e-02,8.575266561936523146e-01
8.300000000000000433e-02,8.639234171928352746e-01
8.400000000000000522e-02,8.701837546695256886e-01
8.500000000000000611e-02,8.763066800438636950e-01
8.600000000000000699e-02,8.822912264349532796e-01
8.700000000000000788e-02,8.881364488135445878e-01
8.799999999999999489e-02,8.938414241512636638e-01
8.899999999999999578e-02,8.994052515663709668e-01
8.999999999999999667e-02,9.048270524660195768e-01
9.099999999999999756e-02,9.101059706849956576e-01
9.199999999999999845e-02,9.152411726209175313e-01
9.299999999999999933e-02,9.202318473658702702e-01
9.400000000000000022e-02,9.250772068344580434e-01
9.500000000000000111e-02,9.297764858882513472e-01
9.600000000000000200e-02,9.343289424566120216e-01
9.700000000000000289e-02,9.387338576538740709e-01
9.800000000000000377e-02,9.429905358928644121e-01
9.900000000000000466e-02,9.470983049947443444e-01
1.000000000000000056e-01,9.510565162951535312e-01
1.010000000000000064e-01,9.548645447466429514e-01
1.020000000000000073e-01,9.585217890173758359e-01
1.030000000000000082e-01,9.620276715860859307e-01
1.040000000000000091e-01,9.653816388332738807e-01
1.049999999999999961e-01,9.685831611286310761e-01
1.059999999999999970e-01,9.716317329146738624e-01
1.069999999999999979e-01,9.745268727865771252e-01
1.079999999999999988e-01,9.772681235681934808e-01
1.089999999999999997e-01,9.798550523842468607e-01
1.100000000000000006e-01,9.822872507286886101e-01
1.110000000000000014e-01,9.845643345292053317e-01
1.120000000000000023e-01,9.866859442078680376e-01
1.130000000000000032e-01,9.886517447379140622e-01
1.140000000000000041e-01,9.904614256966511876e-01
1.150000000000000050e-01,9.921147013144778759e-01
1.160000000000000059e-01,9.936113105200083950e-01
1.170000000000000068e-01,9.949510169813001736e-01
1.180000000000000077e-01,9.961336091431725048e-01
1.190000000000000085e-01,9.971589002606139340e-01
1.199999999999999956e-01,9.980267284282715590e-01
